id,AR_usage,Country,Order_size,Payment_method,New_customers,Old_customers_tenure,Product_return,Channel,Order_day,Order_hour
80,0,NL,-0.197203332,ideal,0,0.04695296,0,Organic Search,4,13
81,0,NL,-0.456682594,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,14
82,1,NL,-0.600998091,ideal,0,0.876781426,0,Organic Search,4,14
83,0,NL,-0.832191516,ideal,1,-0.693841827,0,Direct Access,4,14
84,1,NL,0.206880058,ideal,1,-0.693841827,0,Direct Access,4,14
85,1,NL,-0.28379263,ideal,1,-0.693841827,0,Organic Search,4,14
86,0,NL,-0.572134991,ideal,0,0.624869213,0,Organic Search,4,14
87,0,NL,-0.312655729,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,14
88,0,NL,-0.284081261,ideal,1,-0.693841827,1,Paid Search Non-Branded,4,14
89,1,NL,1.967529113,ideal,1,-0.693841827,0,Organic Search,4,14
90,1,NL,0.264606256,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,14
91,1,NL,-0.081462304,visa,1,-0.693841827,0,Paid Search Branded,4,14
92,0,NL,-0.889629083,ideal,0,-0.127903753,0,Paid Search Branded,4,14
93,0,NL,-0.456682594,ideal,0,-0.267196388,0,Member-get-member,4,14
94,1,NL,1.274814731,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,14
95,0,NL,-0.2257778,ideal,0,0.924200195,0,Paid Search Branded,4,14
97,0,NL,0.091427661,ideal,1,-0.693841827,0,Organic Search,4,14
98,0,NL,3.151204814,ideal,1,-0.693841827,1,Organic Search,4,14
99,1,NL,0.149153859,ideal,1,-0.693841827,1,Organic Search,4,14
101,1,NL,-0.600998091,ideal,1,-0.693841827,0,Paid Search Branded,4,14
102,1,NL,-0.600998091,ideal,0,-0.172358849,1,Paid Search Branded,4,14
103,0,NL,-0.918492183,ideal,0,1.291695659,0,Direct Access,4,14
104,0,NL,-0.918492183,ideal,0,0.126972133,0,Paid Search Branded,4,15
105,0,NL,-0.601286722,visa,0,0.835290002,0,Paid Search Non-Branded,4,15
106,0,NL,-1.005370111,ideal,0,2.192652278,0,Direct Access,4,15
107,0,NL,-0.485545694,visa,0,2.145233509,0,Paid Search Branded,4,15
108,1,NL,-1.03394458,ideal,1,-0.693841827,0,Direct Access,4,15
109,0,NL,1.823502248,ideal,1,-0.693841827,1,Paid Search Branded,4,15
